"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
79,"1","2024-02-13T06:08:59.200570Z",79,"[{""start"":35,""end"":37,""text"":""奥创"",""labels"":[""姓名""]},{""start"":87,""end"":89,""text"":""鹰眼"",""labels"":[""姓名""]},{""start"":106,""end"":108,""text"":""寡姐"",""labels"":[""姓名""]},{""start"":124,""end"":126,""text"":""基妹"",""labels"":[""姓名""]}]",22.573,"漫威第二阶最中庸的一集。承上启下之作，完全是内战和复联3的超长预告片，奥创明显是为续集强加进来的反派，引入生硬。基调并不沉重，笑点不减反增，节奏和群戏倒真弱了不少，尤其是中间鹰眼家那一大段文戏满满尿点。PS：按照寡姐一部钓一个的节奏，下回绝逼轮到跟基妹争男人了~（波特曼一边玩去！）","2024-02-13T06:08:59.200570Z"
80,"1","2024-02-13T06:09:03.153270Z",80,"[{""start"":1,""end"":3,""text"":""奥创"",""labels"":[""姓名""]}]",3.578,"连奥创都知道整容要去韩国。","2024-02-13T06:09:03.153270Z"
81,"1","2024-02-13T06:09:31.844092Z",81,"[{""start"":19,""end"":21,""text"":""寡姐"",""labels"":[""姓名""]},{""start"":22,""end"":25,""text"":""绿巨人"",""labels"":[""姓名""]},{""start"":30,""end"":32,""text"":""鹰眼"",""labels"":[""姓名""]},{""start"":40,""end"":42,""text"":""鹰眼"",""labels"":[""姓名""]},{""start"":42,""end"":44,""text"":""寡姐"",""labels"":[""姓名""]},{""start"":59,""end"":61,""text"":""快银"",""labels"":[""姓名""]},{""start"":77,""end"":80,""text"":""红女巫"",""labels"":[""姓名""]}]",28.347,"梗概：不作死就不会死。最让我震惊的不是寡姐和绿巨人站了CP、鹰眼早有家庭（之前的鹰眼寡姐CP都被这部编剧吃了吧），而是快银居然就那么领了便当（手动再见）；红女巫发大招是真帅；有些joke确有笑果，比如thor的hammer joke，但有些刻意抖机灵的痕迹太明显反而就呵呵了；不过打戏还是颇有趣味","2024-02-13T06:09:31.844092Z"
82,"1","2024-02-13T06:09:48.696723Z",82,"[{""start"":1,""end"":3,""text"":""鹰眼"",""labels"":[""姓名""]},{""start"":96,""end"":98,""text"":""鹰眼"",""labels"":[""姓名""]},{""start"":111,""end"":113,""text"":""快银"",""labels"":[""姓名""]}]",16.476,"“鹰眼作为本片的第一男主”有理有据。有感情戏，有主公技，有不止一个妹，有感化傻逼的男主式语录，有狂立flag而不倒的金手指，有死基友不死本大爷的神功护体。。他合同是不是结束了？？？复联2——\鹰眼巨巨凯瑞me/    还我快银！！！","2024-02-13T06:09:48.696723Z"
83,"1","2024-02-13T06:10:04.470193Z",83,"[{""start"":8,""end"":11,""text"":""钢铁侠"",""labels"":[""姓名""]},{""start"":20,""end"":22,""text"":""鹰眼"",""labels"":[""姓名""]},{""start"":31,""end"":35,""text"":""美国队长"",""labels"":[""姓名""]},{""start"":48,""end"":51,""text"":""绿巨人"",""labels"":[""姓名""]}]",15.37,"《铁人2》中勾引钢铁侠，《妇联1》中勾引鹰眼，《美队2》中勾引美国队长，在《妇联2》中终于……跟绿巨人表白了，黑寡妇用实际行动告诉了我们什么叫忠贞不二；而且为了治疗不孕不育连作战武器都变成了两支验孕棒(坚决相信快银没有死，后面还得回来)","2024-02-13T06:10:04.470193Z"
84,"1","2024-02-13T06:10:08.862050Z",84,"[{""start"":3,""end"":5,""text"":""美队"",""labels"":[""姓名""]}]",3.963,"你们看美队的胸！隔着大半个屋子都能感受到！","2024-02-13T06:10:08.862050Z"
85,"1","2024-02-13T06:10:26.469103Z",85,"[{""start"":122,""end"":124,""text"":""奥创"",""labels"":[""姓名""]}]",17.261,"2015年度最失望作品。以为面面俱到，实则画蛇添足；以为主题深刻，实则老调重弹；以为推陈出新，实则俗不可耐；以为场面很high，实则high劲不足。气！上一集的趣味全无，这集的笑点明显刻意到心虚。全片没有任何片段给我有紧张激动的时候，太弱了，跟奥创一样。","2024-02-13T06:10:26.469103Z"
86,"1","2024-02-13T06:10:29.137099Z",86,"",2.324,"谁再喊我看这种电影我和谁急！实在是接受无能。。。","2024-02-13T06:10:29.137099Z"
87,"1","2024-02-13T06:10:31.333061Z",87,"",1.828,"劇情弱，純賣特技","2024-02-13T06:10:31.333061Z"
88,"1","2024-02-13T06:12:06.782565Z",88,"[{""start"":48,""end"":50,""text"":""雷神"",""labels"":[""姓名""]},{""start"":77,""end"":80,""text"":""绿巨人"",""labels"":[""姓名""]},{""start"":95,""end"":98,""text"":""钢铁侠"",""labels"":[""姓名""]}]",95.116,"沦落成传统的打斗片套路，小打——对白——小打——对白……最后大打一番结束。观察下来，最厉害的还是雷神啦，因为他既会飞又打不死。其他人要么是打不死但不会飞（绿巨人），要么是会飞但可能会被打死（钢铁侠），要么是既不会飞，又可能会被打死。","2024-02-13T06:12:06.782565Z"
89,"1","2024-02-13T06:12:14.273221Z",89,"[{""start"":6,""end"":8,""text"":""老万"",""labels"":[""姓名""]},{""start"":13,""end"":15,""text"":""老万"",""labels"":[""姓名""]}]",7.192,"我就问一句：老万是被炸死的老万造吗？","2024-02-13T06:12:14.273221Z"
90,"1","2024-02-13T06:12:16.796178Z",90,"",2.13,"avengers1睡着1次 avengers2睡着两次。。。","2024-02-13T06:12:16.796178Z"
91,"1","2024-02-13T06:12:40.913536Z",91,"[{""start"":25,""end"":27,""text"":""美国"",""labels"":[""地址""]},{""start"":132,""end"":134,""text"":""美国"",""labels"":[""地址""]},{""start"":145,""end"":147,""text"":""东欧"",""labels"":[""地址""]},{""start"":53,""end"":56,""text"":""钢铁侠"",""labels"":[""姓名""]},{""start"":57,""end"":59,""text"":""雷神"",""labels"":[""姓名""]},{""start"":60,""end"":63,""text"":""绿巨人"",""labels"":[""姓名""]}]",23.805,"相比第一部：多了惊悚、爱情、打戏，少了幽默、剧情、美国。看到结尾最在意的事情果然还是……下一部复联可能没有钢铁侠、雷神和绿巨人了？我靠，那我还看谁啊？！强烈要求把Star Lord、Ant Man、Spider Man都加进来作为补偿！！！（“观众可能看腻了我们炸美国城市。” “那我们炸个东欧城市吧。”）","2024-02-13T06:12:40.913536Z"
92,"1","2024-02-13T06:12:43.550986Z",92,"",2.272,"不出意料得烂，喜欢这部电影的孩子，大概也喜欢变4……","2024-02-13T06:12:43.550986Z"
93,"1","2024-02-13T06:12:45.268052Z",93,"",1.399,"这是什么鬼啊！！","2024-02-13T06:12:45.268052Z"
94,"1","2024-02-13T06:12:46.693661Z",94,"",1.082,"一顿瞎打","2024-02-13T06:12:46.693661Z"
95,"1","2024-02-13T06:12:50.989750Z",95,"[{""start"":0,""end"":2,""text"":""奥创"",""labels"":[""姓名""]}]",3.963,"奥创弱爆了弱爆了弱爆了啊！！！！！！","2024-02-13T06:12:50.989750Z"
96,"1","2024-02-13T06:13:16.503134Z",96,"[{""start"":47,""end"":49,""text"":""奥创"",""labels"":[""姓名""]},{""start"":65,""end"":67,""text"":""灭霸"",""labels"":[""姓名""]},{""start"":78,""end"":81,""text"":""黑寡妇"",""labels"":[""姓名""]},{""start"":82,""end"":84,""text"":""绿胖"",""labels"":[""姓名""]},{""start"":93,""end"":100,""text"":""猩红女伊丽莎白"",""labels"":[""姓名""]}]",25.124,"上映第一天就去刷了 总之就是一个字爽 打斗比第一部更多更精彩 而且异常喜欢这部的黑暗基调 不过奥创比想象中的要弱多了啊 坐等下一步灭霸现身把妇联全灭了 另外黑寡妇和绿胖这一对又是什么鬼（猩红女伊丽莎白好漂亮啊）说说差的地方 人物线太杂乱  看完以后基本就忘了到底讲了什么  只记得打打打。","2024-02-13T06:13:16.503134Z"
97,"1","2024-02-13T06:13:18.701997Z",97,"",1.826,"失望失望太失望","2024-02-13T06:13:18.701997Z"
98,"1","2024-02-13T06:13:25.947855Z",98,"[{""start"":0,""end"":4,""text"":""猩红女巫"",""labels"":[""姓名""]},{""start"":14,""end"":16,""text"":""快银"",""labels"":[""姓名""]}]",6.957,"猩红女巫美哭了，为何要弄我大快银 嘤嘤嘤","2024-02-13T06:13:25.947855Z"
99,"1","2024-02-13T06:13:36.757647Z",99,"[{""start"":34,""end"":36,""text"":""寡姐"",""labels"":[""姓名""]},{""start"":74,""end"":76,""text"":""洛基"",""labels"":[""姓名""]}]",10.438,"剧情不如第一集好玩了，全靠密集笑点在提神。僧多粥少的直接后果就是每部寡姐都要换着队友谈恋爱，这特么比打斗还辛苦啊，真心求放过～～～（结尾彩蛋还以为是洛基呢，结果我呸！）","2024-02-13T06:13:36.757647Z"
100,"1","2024-02-13T06:13:50.511397Z",100,"[{""start"":6,""end"":8,""text"":""美队"",""labels"":[""姓名""]},{""start"":60,""end"":62,""text"":""黑寡"",""labels"":[""姓名""]}]",13.384,"全程挥之不去美队的胸和banner的胸……毛。人物太多感情的处理不够细腻是一定的啦。凭良心讲，就看这电影里的剧情，再怎样黑寡也不可能算是slut，采访里面CE和JR简直糟糕。对看超级英雄系列片的热情开始减弱了，虽然俺看这种片子丝毫无惧于剧透，还是想对某说，一句短评就剧透的，有什么病啊！","2024-02-13T06:13:50.511397Z"
